lrp,name,total delay
LRP008a,Kachpur bridge,20565.0
LRP011a,NOYAPARA CULVERT,0.0
LRP011b,NAYABARI KASPUR BOX CULVERT,0.0
LRP012a,NAYABARI BOX CULVERT,50986.0
LRP013a,MADAN PUR (R),0.0
LRP016b,Langalbandhu bridge,0.0
LRP017a,Bridge start,20457.0
LRP017c,LANGOLBANDO PC GIDER BRIDGE,0.0
LRP018a,DARIKANDI BRIDGE (R),51717.0
LRP020b,SHADIPUR BOX CULVERT,50946.0
LRP022a,Bridge start,0.0
LRP022c,Bridge start,20510.0
LRP028a,Bridge end,20637.0
LRP029a,Anarpara Bridge (R),50855.0
LRP030a,Bridge start,20639.0
LRP030c,Bridge start,20561.0
LRP031b,Bhaber char Bridge(R),0.0
LRP033a,NOYAPARA,0.0
LRP035a,Bridge start,0.0
LRP038d,Bridge start,0.0
LRP042a,Bridge start,0.0
LRP048a,Bridge start,20354.0
LRP050a,Bridge start,0.0
LRP056a,Bridge start,20774.0
LRP072a,Bridge start,20857.0
LRP084b,TIPRA BAZAR BOX CULVERT,21074.0
LRP089a,Bridge start,0.0
LRP093a,Bridge start,20859.0
LRP095a,Bridge start,0.0
LRP099a,Bridge start,20809.0
LRP102a,Bridge start,20718.0
LRP105a,Bridge start,20826.0
LRP108a,Bridge start,20944.0
LRP110a,Bridge start,0.0
LRP111a,Bridge start,20861.0
LRP113a,Bridge start,0.0
LRP119b,Bridge start,0.0
LRP126a,BOSONTA PUR BOX CULVERT,21204.0
LRP128a,Bridge start,0.0
LRP131a,DIMATOLY (2) BOX CULVERT,0.0
LRP134a,FOKIR BAZAR SLAB CULVERT,0.0
LRP139b,UTTOR KAIEATI CULVERT,0.0
LRP151a,Bridge start,0.0
LRP156a,LAMUA BRIDGE,95374.0
LRP163a,Bridge start,21425.0
LRP168a,DHOOM GHAT PC GIRDER,181210.0
LRP173a,CHAIRMEN BARI BOX CULVERT,21161.0
LRP173b,MADDAM SONAPAR(1) BOX CULVERT,0.0
LRP174a,DHARBAR TILA CULVERT,0.0
LRP174b,MADDUM SONAPHAR-3,0.0
LRP175a,MAMAFOUN ASTANA CULVERT,0.0
LRP175b,MAMAFAKIR ASTANA SLAB CULVERT,0.0
LRP176a,MASTANNAGOR BONCUL(1),21374.0
LRP176c,MUSTAU NOGAR(2),21189.0
LRP176d,MASTARI HAGOR 3 CULVERT,21136.0
LRP178a,PURPU DURGAPURE BOX CUL,53491.0
LRP187a,VARTAKA BOX CULVERT,53864.0
LRP197a,TARAT BOX CULVERT,0.0
LRP200a,RONA SORA CULVERT,21515.0
LRP203b,UTTOR SITAKONDO BAZAR BOX CULVERT,21404.0
LRP204c,Bridge start,0.0
LRP204f,MOHADAB PUR BOX CULVERT,21399.0
LRP207d,HATILOTA BOX CULVERT,21531.0
LRP209a,Bridge start,21739.0
LRP210a,Bridge start,0.0
LRP211a,R. R TEXTAIL BOX CULVERT,0.0
LRP211b,Bridge start,0.0
LRP213a,Bridge start,21615.0
LRP216a,Bridge start,21222.0
LRP217a,Bridge start,21161.0
LRP217d,Bridge start,0.0
LRP218a,Bridge start,0.0
LRP218c,Bridge start,21724.0
LRP219a,Bridge start,21435.0
LRP221b,Bridge start,21594.0
LRP224a,Bridge start,21706.0
LRP226a,Bridge start,21458.0
LRP227b,Bridge start,21575.0
LRP229a,Bridge start,21487.0
LRP231b,Bridge start,0.0
LRP232c,Bridge start,0.0
LRP234a,Bridge start,21580.0
